Date,Opponent,Score,B_to,B_stl,B_blk,B_ast,BC_to,BC_stl,BC_blk,BC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_def_eff,P_net_eff,OP_pf,OP_def eff,OP_net_eff
Dec 13,North Central Missouri College,"W, 93-67",16,11,11,10,12.0,10.0,0.0,20.0,39-81,48.1,4-20,20.0,11-19,57.9,93.0,27-75,36.0,5-25,20.0,67.0,20,37,57,26.0,6.0,25.0,31.0,26.0,15,0.779,0.296,15,0.779,0.296
Dec 16,Johnson County Community College,"L, 85-64",13,7,2,4,17.0,14.0,1.0,19.0,23-82,28.0,7-30,23.3,11-15,73.3,64.0,32-72,44.4,8-19,42.1,85.0,14,29,43,-11.0,18.0,36.0,54.0,-11.0,13,1.043,-0.32,13,1.043,-0.32
Dec 17,Baltimore City Community College,"L, 75-70",25,8,10,16,25.0,16.0,4.0,17.0,25-72,34.7,8-22,36.4,12-22,54.5,70.0,28-81,34.6,2-9,22.2,75.0,13,30,43,-10.0,18.0,35.0,53.0,-10.0,21,0.75,-0.013,21,0.75,-0.013
Dec 18,vs. Briar Cliff University,"L, 92-85",24,17,6,14,0.0,0.0,0.0,0.0,35-81,43.2,5-22,22.7,10-16,62.5,85.0,0-0,-,0-0,-,92.0,20,33,53,53.0,0.0,0.0,0.0,53.0,0,-,0.914,0,-,0.914
Jan 8,at Broward College,"W, 88-59",12,15,5,19,13.0,9.0,4.0,4.0,34-70,48.6,9-20,45.0,11-16,68.8,88.0,20-61,32.8,2-11,18.2,59.0,15,41,56,27.0,5.0,24.0,29.0,27.0,11,0.698,0.475,11,0.698,0.475
Jan 11,at Eastern Florida State College,"W, 78-49",17,12,4,18,17.0,8.0,2.0,12.0,30-77,39.0,6-17,35.3,12-21,57.1,78.0,17-64,26.6,9-36,25.0,49.0,25,31,56,27.0,9.0,20.0,29.0,27.0,14,0.641,0.341,14,0.641,0.341
Jan 14,Indian River State College,"L, 65-59",22,11,4,12,20.0,16.0,2.0,17.0,23-73,31.5,3-20,15.0,10-18,55.6,59.0,20-56,35.7,0-1,0.0,65.0,17,23,40,-3.0,17.0,26.0,43.0,-3.0,16,0.802,-0.124,16,0.802,-0.124
Jan 18,Palm Beach State College,"L, 83-57",10,7,5,8,17.0,10.0,5.0,26.0,24-76,31.6,6-26,23.1,3-5,60.0,57.0,31-67,46.3,12-20,60.0,83.0,16,26,42,-8.0,14.0,36.0,50.0,-8.0,10,1.085,-0.299,10,1.085,-0.299
Jan 22,Broward College,"W, 80-46",14,14,5,20,20.0,6.0,0.0,1.0,37-76,48.7,2-15,13.3,7-11,63.6,80.0,15-55,27.3,4-17,23.5,46.0,16,32,48,26.0,5.0,17.0,22.0,26.0,11,0.568,0.438,11,0.568,0.438
Jan 25,at St. Petersburg College,"L, 74-52",20,11,5,12,14.0,14.0,10.0,12.0,21-75,28.0,4-23,17.4,6-8,75.0,52.0,28-81,34.6,1-14,7.1,74.0,15,22,37,-6.0,18.0,25.0,43.0,-6.0,0,0.818,-0.199,0,0.818,-0.199
Jan 28,at Indian River State College,"W, 77-76",21,11,2,15,24.0,11.0,4.0,18.0,30-72,41.7,5-19,26.3,12-23,52.2,77.0,26-60,43.3,10-18,55.6,76.0,14,25,39,3.0,14.0,22.0,36.0,3.0,20,0.927,-0.076,20,0.927,-0.076
Jan 31,St. Petersburg College,"L, 70-52",19,5,4,5,7.0,12.0,0.0,7.0,18-62,29.0,6-17,35.3,10-17,58.8,52.0,23-70,32.9,6-13,46.2,70.0,13,25,38,5.0,7.0,26.0,33.0,5.0,0,0.828,-0.149,0,0.828,-0.149
Feb 1,at Palm Beach State College,"L, 89-67",15,6,2,13,15.0,10.0,3.0,20.0,26-71,36.6,6-24,25.0,9-14,64.3,67.0,33-66,50.0,6-20,30.0,89.0,17,23,40,2.0,8.0,30.0,38.0,2.0,11,1.072,-0.191,11,1.072,-0.191
Feb 5,Eastern Florida State College,"W, 88-76",13,12,6,17,17.0,7.0,0.0,18.0,34-76,44.7,9-30,30.0,11-15,73.3,88.0,29-70,41.4,14-42,33.3,76.0,15,28,43,13.0,10.0,20.0,30.0,13.0,12,0.944,0.136,12,0.944,0.136
Feb 8,at St. Petersburg College,"L, 85-60",19,7,5,10,12.0,7.0,3.0,15.0,20-70,28.6,9-25,36.0,11-19,57.9,60.0,30-74,40.5,4-18,22.2,85.0,14,16,30,-12.0,14.0,28.0,42.0,-12.0,0,0.988,-0.278,0,0.988,-0.278
Feb 11,at Broward College,"L, 89-80",15,10,5,10,12.0,5.0,2.0,17.0,35-89,39.3,2-22,9.1,8-12,66.7,80.0,31-71,43.7,10-24,41.7,89.0,25,31,56,30.0,8.0,18.0,26.0,30.0,13,1.011,-0.07,13,1.011,-0.07
Feb 17,at Eastern Florida State College,"W, 89-62",12,13,8,22,21.0,6.0,1.0,8.0,35-71,49.3,6-24,25.0,13-21,61.9,89.0,20-59,33.9,6-26,23.1,62.0,17,32,49,14.0,18.0,17.0,35.0,14.0,14,0.832,0.331,14,0.832,0.331
Feb 19,at Indian River State College,"W, 81-72",9,9,6,17,13.0,5.0,2.0,17.0,33-74,44.6,6-18,33.3,9-13,69.2,81.0,25-62,40.3,5-11,45.5,72.0,15,21,36,-7.0,16.0,27.0,43.0,-7.0,12,1.021,0.066,12,1.021,0.066
Feb 22,Palm Beach State College,"L, 61-55",13,11,0,7,20.0,12.0,3.0,19.0,20-75,26.7,4-17,23.5,11-14,78.6,55.0,23-56,41.1,9-23,39.1,61.0,20,26,46,7.0,6.0,33.0,39.0,7.0,14,0.808,-0.075,14,0.808,-0.075
